Date of Sale,Region,Product Type,Sales Channel,Customer Type,Sales Amount in US$,Units Sold,Marketing Spend in US$,Returning Customer
01-01-2022,South America,CRM,Partner,Business,7723,16,793,Yes
02-01-2022,Australia,DevTools,Partner,Consumer,8681,15,725,Yes
03-01-2022,Asia,DevTools,Partner,Consumer,5240,8,587,No
04-01-2022,Australia,Database,Partner,Business,9933,15,1810,Yes
05-01-2022,Australia,CRM,Online,Consumer,215,1,933,Yes
06-01-2022,Europe,Database,Direct Sales,Consumer,3066,17,935,Yes
07-01-2022,Asia,CRM,Online,Consumer,6269,15,809,No
08-01-2022,Asia,Database,Direct Sales,Consumer,4746,14,1213,No
09-01-2022,Asia,DevTools,Online,Business,1254,14,1271,Yes
10-01-2022,Australia,DevTools,Partner,Consumer,3741,10,812,Yes
11-01-2022,South America,Antivirus,Partner,Business,352,2,1413,No
12-01-2022,Asia,ERP,Direct Sales,Consumer,6463,6,1584,No
13-01-2022,Australia,Database,Direct Sales,Business,8938,17,1061,No
14-01-2022,Europe,Antivirus,Online,Consumer,8860,5,1378,No
15-01-2022,South America,ERP,Direct Sales,Business,7025,5,1253,Yes
16-01-2022,Europe,Database,Online,Consumer,4711,15,793,No
17-01-2022,South America,CRM,Direct Sales,Business,5169,15,1595,Yes
18-01-2022,Australia,ERP,Direct Sales,Consumer,1455,11,1702,No
19-01-2022,North America,DevTools,Direct Sales,Consumer,3476,5,1473,Yes
20-01-2022,South America,Antivirus,Partner,Business,1959,1,986,No
21-01-2022,Europe,ERP,Partner,Business,8230,11,1890,No
22-01-2022,Australia,ERP,Online,Business,9156,11,1183,No
23-01-2022,South America,DevTools,Direct Sales,Business,5416,6,899,Yes
24-01-2022,North America,Database,Online,Business,7305,8,1112,Yes
25-01-2022,North America,CRM,Direct Sales,Consumer,1303,2,1538,Yes
26-01-2022,Asia,DevTools,Partner,Business,6124,15,1769,Yes
27-01-2022,Asia,CRM,Partner,Business,7058,9,1035,No
28-01-2022,Europe,Database,Direct Sales,Consumer,4582,15,849,No
29-01-2022,South America,ERP,Direct Sales,Business,2508,8,1440,No
30-01-2022,South America,CRM,Partner,Business,8786,16,1882,Yes
31-01-2022,Asia,Antivirus,Partner,Business,7455,14,775,No
